Sexo	Provincias	Municipios	Edad (grupos quinquenales)	Periodo	Total
Total	28 Madrid	28017 Batres	De 65 a 69 años	1 de enero de 2022	101
Total	28 Madrid	28017 Batres	De 70 a 74 años  	1 de enero de 2022	83
Total	28 Madrid	28017 Batres	De 75 a 79 años  	1 de enero de 2022	49
Total	28 Madrid	28017 Batres	De 80 a 84 años  	1 de enero de 2022	25
Total	28 Madrid	28017 Batres	De 85 a 89 años  	1 de enero de 2022	18
Total	28 Madrid	28017 Batres	De 90 a 94 años  	1 de enero de 2022	7
Total	28 Madrid	28017 Batres	De 95 a 99 años  	1 de enero de 2022	3
Total	28 Madrid	28017 Batres	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28018 Becerril de la Sierra	De 65 a 69 años	1 de enero de 2022	273
Total	28 Madrid	28018 Becerril de la Sierra	De 70 a 74 años  	1 de enero de 2022	262
Total	28 Madrid	28018 Becerril de la Sierra	De 75 a 79 años  	1 de enero de 2022	187
Total	28 Madrid	28018 Becerril de la Sierra	De 80 a 84 años  	1 de enero de 2022	127
Total	28 Madrid	28018 Becerril de la Sierra	De 85 a 89 años  	1 de enero de 2022	80
Total	28 Madrid	28018 Becerril de la Sierra	De 90 a 94 años  	1 de enero de 2022	55
Total	28 Madrid	28018 Becerril de la Sierra	De 95 a 99 años  	1 de enero de 2022	14
Total	28 Madrid	28018 Becerril de la Sierra	100 y más años	1 de enero de 2022	2
Total	28 Madrid	28019 Belmonte de Tajo	De 65 a 69 años	1 de enero de 2022	92
Total	28 Madrid	28019 Belmonte de Tajo	De 70 a 74 años  	1 de enero de 2022	73
Total	28 Madrid	28019 Belmonte de Tajo	De 75 a 79 años  	1 de enero de 2022	57
Total	28 Madrid	28019 Belmonte de Tajo	De 80 a 84 años  	1 de enero de 2022	35
Total	28 Madrid	28019 Belmonte de Tajo	De 85 a 89 años  	1 de enero de 2022	29
Total	28 Madrid	28019 Belmonte de Tajo	De 90 a 94 años  	1 de enero de 2022	24
Total	28 Madrid	28019 Belmonte de Tajo	De 95 a 99 años  	1 de enero de 2022	5
Total	28 Madrid	28019 Belmonte de Tajo	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28021 Berrueco, El	De 65 a 69 años	1 de enero de 2022	49
Total	28 Madrid	28021 Berrueco, El	De 70 a 74 años  	1 de enero de 2022	44
Total	28 Madrid	28021 Berrueco, El	De 75 a 79 años  	1 de enero de 2022	32
Total	28 Madrid	28021 Berrueco, El	De 80 a 84 años  	1 de enero de 2022	24
Total	28 Madrid	28021 Berrueco, El	De 85 a 89 años  	1 de enero de 2022	25
Total	28 Madrid	28021 Berrueco, El	De 90 a 94 años  	1 de enero de 2022	13
Total	28 Madrid	28021 Berrueco, El	De 95 a 99 años  	1 de enero de 2022	1
